cluster_id,panel_id,size,representative_rel_path
C44946,P1,17,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_05838.jpg
C105486,P10,17,P10-ACB&MCCB반/A3_B2_P10_2022-07-15_IR2_01371.jpg
C47805,P2,17,P2-LBS&LA반/A1_B1_P2_2022-07-25_IR2_00074.jpg
C58530,P5,17,P5-PF&PT반/A3_B1_P5_2022-07-01_IR3_00605.jpg
C61689,P6,17,P6-VCB반/A1_B2_P6_2022-07-19_IR2_00182.jpg
C61707,P6,17,P6-VCB반/A1_B2_P6_2022-07-19_IR2_00235.jpg
C62842,P6,17,P6-VCB반/A1_B2_P6_2022-07-19_IR3_00928.jpg
C68602,P7,17,P7-VCB&CT반/A1_B1_P7_2022-07-25_IR2_00587.jpg
C68657,P7,17,P7-VCB&CT반/A1_B1_P7_2022-07-25_IR2_00775.jpg
C69855,P8,17,P8-ACB반/A1_B2_P8_2022-07-19_IR2_00208.jpg
C71106,P8,17,P8-ACB반/A2_B1_P8_2022-07-11_IR2_2_00522.jpg
C72175,P8,17,P8-ACB반/A2_B1_P8_2022-07-11_IR2_4_00799.jpg
C77399,P9,17,P9-MCCB반/A1_B2_P9_2022-07-19_IR2_00373.jpg
C77471,P9,17,P9-MCCB반/A1_B2_P9_2022-07-19_IR2_00622.jpg
C82590,P9,17,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_1_00466.jpg
C82738,P9,17,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_2_00154.jpg
C83538,P9,17,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_4_00373.jpg
C90115,P9,17,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_00340.jpg
C90857,P9,17,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_01916.jpg
C91126,P9,17,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_02496.jpg
C95277,P9,17,P9-MCCB반/A3_B3_P9_2022-07-15_IR2_01991.jpg
C96001,P9,17,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_01011.jpg
C96804,P9,17,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_03349.jpg
C8356,P1,16,P1-TR반/New Folder With Items/A1_B1_P1_2022-07-25_IR2_00951.jpg
C9593,P1,16,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR2_00705.jpg
C12540,P1,16,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR3_02337.jpg
C14183,P1,16,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_01597.jpg
C17104,P1,16,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR3_03155.jpg
C20825,P1,16,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_2_01841.jpg
C21667,P1,16,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_3_01264.jpg
C21694,P1,16,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_3_01296.jpg
C31328,P1,16,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_07797.jpg
C31621,P1,16,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_08399.jpg
C31884,P1,16,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_08831.jpg
C32993,P1,16,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_10885.jpg
C38627,P1,16,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR2_01738.jpg
C40993,P1,16,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR3_01027.jpg
C42192,P1,16,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR3_04269.jpg
C44581,P1,16,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_04290.jpg
C45709,P1,16,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_08245.jpg
C1422,P1,16,P1-TR반/A3_B4_P1_2022-07-15_IR3_01473.jpg
C2323,P1,16,P1-TR반/A3_B4_P1_2022-07-15_IR3_02989.jpg
C2746,P1,16,P1-TR반/A3_B5_P1_2022-07-01_IR3_00195.jpg
C102812,P10,16,P10-ACB&MCCB반/A2_B1_P10_2022-07-11_IR2_4_00247.jpg
C49527,P3,16,P3-MOF반/A2_B1_P3_2022-07-11_IR2_1_00359.jpg
C49935,P3,16,P3-MOF반/A2_B1_P3_2022-07-11_IR3_00212.jpg
C50511,P3,16,P3-MOF반/A2_B1_P3_2022-07-11_IR3_01721.jpg
C50913,P3,16,P3-MOF반/A3_B1_P3_2022-07-01_IR3_00003.jpg
C54093,P5,16,P5-PF&PT반/A1_B2_P5_2022-07-19_IR2_00546.jpg
C56571,P5,16,P5-PF&PT반/A1_B2_P5_2022-07-19_IR3_02174.jpg
C61735,P6,16,P6-VCB반/A1_B2_P6_2022-07-19_IR2_00320.jpg
C64785,P6,16,P6-VCB반/A2_B1_P6_2022-07-11_IR3_00427.jpg
C65652,P6,16,P6-VCB반/A3_B1_P6_2022-07-01_IR3_00351.jpg
C69839,P8,16,P8-ACB반/A1_B2_P8_2022-07-19_IR2_00154.jpg
C71341,P8,16,P8-ACB반/A2_B1_P8_2022-07-11_IR2_2_01254.jpg
C72100,P8,16,P8-ACB반/A2_B1_P8_2022-07-11_IR2_4_00570.jpg
C72108,P8,16,P8-ACB반/A2_B1_P8_2022-07-11_IR2_4_00600.jpg
C75700,P9,16,P9-MCCB반/A1_B1_P9_2022-07-19_IR2_01107.jpg
C77409,P9,16,P9-MCCB반/A1_B2_P9_2022-07-19_IR2_00414.jpg
C77467,P9,16,P9-MCCB반/A1_B2_P9_2022-07-19_IR2_00608.jpg
C77496,P9,16,P9-MCCB반/A1_B2_P9_2022-07-19_IR2_00705.jpg
C79716,P9,16,P9-MCCB반/A1_B2_P9_2022-07-19_IR2_05837.jpg
C79772,P9,16,P9-MCCB반/A1_B2_P9_2022-07-19_IR2_06009.jpg
C80785,P9,16,P9-MCCB반/A1_B2_P9_2022-07-19_IR3_00955.jpg
C82803,P9,16,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_2_00331.jpg
C84600,P9,16,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_6_01975.jpg
C90945,P9,16,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_02117.jpg
C90956,P9,16,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_02140.jpg
C91464,P9,16,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_03524.jpg
C91492,P9,16,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_03586.jpg
C9702,P1,15,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR2_00931.jpg
C11478,P1,15,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR3_00453.jpg
C14345,P1,15,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_01940.jpg
C15445,P1,15,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_03866.jpg
C15475,P1,15,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_03906.jpg
C16774,P1,15,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR3_02594.jpg
C18705,P1,15,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_1_00492.jpg
C18921,P1,15,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_1_00803.jpg
C20171,P1,15,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_2_00806.jpg
C22109,P1,15,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_3_02011.jpg
C24807,P1,15,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_6_00742.jpg
C30222,P1,15,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_05686.jpg
C30320,P1,15,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_05842.jpg
C30762,P1,15,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_06694.jpg
C31544,P1,15,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_08306.jpg
C33071,P1,15,P1-TR반/New Folder With Items/A3_B1_P1_2022-07-01_IR3_00005.jpg
C34924,P1,15,P1-TR반/New Folder With Items/A3_B2_P1_2022-07-15_IR2_01379.jpg
C37844,P1,15,P1-TR반/New Folder With Items/A3_B2_P1_2022-07-15_IR3_02636.jpg
C38348,P1,15,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR2_01077.jpg
C38538,P1,15,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR2_01486.jpg
C38862,P1,15,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR2_02190.jpg
